"","globio_country_code","item_name","item_code","msa_land_use_dynamic","msa_land_use_static","msa_fragmentation_dynamic","msa_fragmentation_static","msa_encroachment_dynamic","msa_encroachment_static","msa_n_deposition_static","msa_n_deposition_dynamic","msa_climate_change_terrestrial_dynamic","msa_climate_change_aquatic_dynamic","msa_aquatic_wetland_conversion_static","msa_aquatic_wetland_conversion_dynamic","msa_aquatic_land_use_river_static_wm","msa_aquatic_land_use_river_static_cut","msa_aquatic_land_use_river_dynamic_wm","msa_aquatic_land_use_river_dynamic_cut","msa_aquatic_land_use_wetland_static_wm","msa_aquatic_land_use_wetland_static_cut","msa_aquatic_land_use_wetland_dynamic_wm","msa_aquatic_land_use_wetland_dynamic_cut","msa_aquatic_HD_water_withdrawn_static_wm","msa_aquatic_HD_water_withdrawn_static_cut","msa_aquatic_HD_water_withdrawn_dynamic_wm","msa_aquatic_HD_water_withdrawn_dynamic_cut","msa_aquatic_lakes_eutrophication_static","msa_aquatic_lakes_eutrophication_dynamic"
"1",40,"Wheat","15",7.84527228670972e-06,0.00183837133651783,0,0.000429432673457845,0,0.000573267471624127,5.79580422268726e-05,0,2.44629966081483e-06,2.38643973190582e-08,3.3240278938595e-08,3.69336432651056e-09,2.8822854283236e-06,2.90406661656145e-06,5.6751499415014e-09,5.72454595357606e-09,8.79244940245637e-06,8.96657243994346e-06,1.68435354018136e-08,1.71099855403856e-08,1.19076181223531e-07,1.27138433481113e-07,0,0,2.79851416320545e-05,0
"2",40,"Barley","44",6.78790237353826e-06,0.00159059937023902,0,0.000371554607273154,0,0.00049600364258889,5.01465746528493e-05,0,2.11659234596114e-06,2.0648002170621e-08,2.87602214503879e-08,3.19558016115422e-09,2.49381683453818e-06,2.51266239832933e-06,4.91026472380846e-09,4.95300324139604e-09,7.60742087553206e-06,7.75807596260259e-06,1.45733978062726e-08,1.48039363346938e-08,1.03027334631628e-07,1.1000297285492e-07,0,0,2.42133609090699e-05,0
"3",40,"Maize","56",3.85614005116044e-06,0.000903603734909355,0,0.000211076489238361,0,0.000281774752560487,2.84877719663729e-05,0,1.202415130344e-06,1.17299253532245e-08,1.63383967110999e-08,1.81537741234443e-09,1.4167126229466e-06,1.42741860092369e-06,2.78947271503084e-09,2.81375204321316e-09,4.32170038840465e-06,4.40728604995283e-06,8.27900283029087e-09,8.4099694830003e-09,5.85288075129223e-08,6.24915984393362e-08,0,0,1.3755370309782e-05,0
"4",40,"Rye","71",1.02077809613282e-05,0.00239197458583409,0,0.000558751118902681,0,0.00074590002344555,7.54114042671996e-05,0,3.18297315769037e-06,3.10508713661511e-08,4.32501861118874e-08,4.80557623465416e-09,3.75025075550241e-06,3.77859108461834e-06,7.38415257092837e-09,7.44842359342371e-09,1.14401889869238e-05,1.16667470670048e-05,2.19157619662681e-08,2.22624503350409e-08,1.54934530150132e-07,1.65424631971045e-07,0,0,3.641252789093e-05,0
"5",40,"Oats","75",1.15861903841318e-05,0.00271497527723917,0,0.000634202170430468,0,0.000846622758845334,8.55945959542632e-05,0,3.61278647458198e-06,3.52438310152184e-08,4.9090482284042e-08,5.45449803156022e-09,4.25666649843862e-06,4.28883376867395e-06,8.38127285806501e-09,8.45422272891696e-09,1.29850168352066e-05,1.32421682238214e-05,2.48751605776481e-08,2.52686640687382e-08,1.75856140545739e-07,1.87762775034319e-07,0,0,4.13294997326169e-05,0
"6",40,"Millet","79",9.57623734257659e-06,0.00224398588078424,0,0.000524181832497521,0,0.000699752050461184,7.0745787780475e-05,0,2.98604628455188e-06,2.91297898164724e-08,4.05743470483083e-08,4.50826078314537e-09,3.51822707255618e-06,3.54481401824095e-06,6.92730357958294e-09,6.98759822814536e-09,1.07323977069801e-05,1.09449389003064e-05,2.05598590847006e-08,2.08850982445e-08,1.4534890970909e-07,1.55190001045731e-07,0,0,3.41597268444292e-05,0
"7",40,"Sorghum","83",5.62594075536162e-06,0.00131831858062149,0,0.000307951424883385,0,0.000411097118680875,4.15624212836447e-05,0,1.75427142088111e-06,1.71134513338529e-08,2.38370107710641e-08,2.64855675234045e-09,2.06692214969526e-06,2.08254170630582e-06,4.06971946694171e-09,4.10514195163404e-09,6.30517305518276e-06,6.43003881601881e-06,1.20787053423205e-08,1.22697799971037e-08,8.53909866293819e-08,9.11725263769281e-08,0,0,2.00684875041314e-05,0
"8",40,"Buckwheat","89",3.27555415814009e-05,0.00767555880213051,0,0.00179296514866534,0,0.00239350347799387,0.000241986127792527,0,1.02137780987068e-05,9.96385122315902e-08,1.38784646237837e-07,1.54205162486485e-08,1.20341036928516e-05,1.2125044400955e-05,2.36948576283892e-08,2.3901095610748e-08,3.67101907339037e-05,3.74371883684345e-05,7.03250446981354e-08,7.14375259829658e-08,4.97166275800176e-07,5.30827751069853e-07,0,0,0.000116843423260533,0
"9",40,"Triticale","97",7.30063240037833e-06,0.00171074665770941,0,0.000399620303165066,0,0.000533469703086281,5.39344391731062e-05,0,2.27647096392488e-06,2.22076667215444e-08,3.09326494413487e-08,3.43696104903875e-09,2.68218942774041e-06,2.70245850735379e-06,5.28116578058335e-09,5.32713258874789e-09,8.18205393520908e-06,8.34408888347774e-06,1.56742119071781e-08,1.5922164361045e-08,1.10809592705472e-07,1.1831214174401e-07,0,0,2.60423378898223e-05,0
"10",40,"Grain, mixed","103",1.05263435788515e-05,0.00246662290440591,0,0.00057618852470675,0,0.000769177939064991,7.77648299946403e-05,0,3.28230681938058e-06,3.20199014517549e-08,4.45999302480882e-08,4.95554780534313e-09,3.86728791583802e-06,3.89651268491782e-06,7.61459589451636e-09,7.68087267568095e-09,1.1797212375498e-05,1.20308408399539e-05,2.25997051781613e-08,2.29572129360491e-08,1.59769699483836e-07,1.70587174541578e-07,0,0,3.75488836022762e-05,0
